Column fy Mpa,Beam fy Mpa,Columns 1-3 I mm4*10^6,Columns 4-6 I mm4*10^6,Columns 1-3 A mm2,Columns 4-6 A mm2,Beam I mm4*10^6,Spans,Number of floors,Floor height m,Span width m,LLRS tributary width m,Floor mass kg,Facade Load kN/m,PGA g,Magnitude,Distance to fault km,Period s,Max drift mm,Final Dead Load,Final Live Load,soil_class__B,soil_class__C
235,235,276.9,229.3,13347,12437,162.7,2,4,4,5,1.5,9340.452,1,0.354,6.5,15.82,0.638156336,12.8831959,7.5,1.5,1,0
355,355,1752,1412,24164,22646,57.9,2,4,3,4,21,103087.5912,1,0.14,5.9,25.5,1.25531746,5.678008449,17.5,10.5,0,1
235,235,1119,0,21176,0,482,6,1,4,6,7.5,140351.508,2,0.354,6.5,15.82,0.205550287,7.187020505,6,4.5,1,0
235,235,637.2,0,17803,0,920.8,4,2,4,6,12,211444.992,0,0.171,6,17.28,0.611337055,18.41876098,24,20,0,1
275,235,16.73,10.33,3877,3142,920.8,2,4,3.5,8,6,50903.424,0,0.2,6.77,23.99,2.665640439,55.65231433,8,10,0,1
235,235,54.1,0,6434,0,231.3,6,1,4,4,3.5,39478.7052,1,0.15,6.33,18.96,0.366795199,11.88180056,14,3.5,0,1
275,275,54.1,36.92,6434,5383,57.9,6,6,3.5,5,9,190276.02,4,0.354,6.5,15.82,3.977018143,31.74864891,15,15,1,0
355,275,6447,5538,40005,34685,5.412,5,6,3,3,24,168495.228,2,0.171,6,17.28,1.752926782,27.83009949,16,4,0,1
275,275,4221,3034,32053,28583,38.92,4,6,3.5,5,18,233307.36,1,0.354,6.5,15.82,2.708703649,28.06838301,15,15,1,0
235,235,5538,4221,34685,32053,1119,2,6,4,3,21,82008.3528,3,0.171,6,17.28,0.972847052,14.07581818,17.5,3.5,0,1
275,235,54.1,0,6434,0,162.7,1,3,4,8,12,37851.264,2,0.15,6.33,18.96,1.919723031,70.28408714,6,15,0,1
275,235,276.9,0,13347,0,162.7,1,2,4,4,6,15042.6144,4,0.123,6.19,12.9,0.471005918,2.813842532,9,6,0,1
235,235,3.492,3.492,2124,2124,27.72,6,4,3,3,3,34359.8112,0,0.1,6.1,32.84,2.482157085,13.13221582,18,3,1,0
235,235,330.9,276.9,14276,13347,5.412,4,6,4,4,3,21111.8688,4,0.354,6.5,15.82,2.850362202,29.18765698,3,3,1,0
355,275,1119,869.7,21176,19754,671.2,5,4,4,3,10,52412.58,2,0.15,6.33,18.96,0.467914795,6.914184434,5,10,0,1
235,235,104.5,77.63,8682,7684,482,6,5,3,3,18,248888.376,2,0.3,6.6,10.27,1.727531492,33.77324399,18,15,1,0
275,235,104.5,0,8682,0,83.56,2,1,3,8,7.5,33242.22,2,0.15,6.33,18.96,0.321288869,9.437074118,2.5,12.5,0,1
235,235,229.3,182.6,12437,11253,83.56,5,6,4,5,20,266141.7,2,0.283,7.28,19.74,4.021075636,54.29259206,16,16,0,1
275,275,1412,1119,22646,21176,920.8,2,4,4,6,10,49271.904,4,0.2,6.77,23.99,0.662899002,16.11127886,4,8,0,1
275,235,54.1,0,6434,0,920.8,4,3,3,7,21,417195.9792,2,0.15,6.33,18.96,2.11156446,95.33803646,21,10.5,0,1
355,355,1119,0,21176,0,27.72,5,2,4,6,8,156421.98,1,0.15,6.33,18.96,0.818597978,31.37145903,10,10,0,1
235,235,6.062,0,2534,0,671.2,1,2,3,4,9,14952.8808,3,0.354,6.5,15.82,1.253203961,60.75882286,6,3,1,0
355,235,276.9,0,13347,0,83.56,2,2,3.5,8,4,11224.8576,0,0.2,6.77,23.99,0.372097694,11.22934897,4,12,0,1
235,235,182.6,0,11253,0,57.9,3,3,3,3,21,121213.7784,3,0.283,7.28,19.74,1.211196244,31.90868197,17.5,7,0,1
235,235,1119,0,21176,0,117.7,3,2,3,6,2.5,22902.462,1,0.14,5.9,25.5,0.221499659,2.797054466,10,5,0,1
235,235,6447,5538,40005,34685,117.7,1,5,4,4,9,35403.984,4,0.283,7.28,19.74,1.163610928,25.414617,18,15,0,1
275,275,1119,0,21176,0,19.43,2,1,3,3,3.5,20206.3752,4,0.14,5.9,25.5,0.108625023,1.367538094,21,14,0,1
355,355,36.92,0,5383,0,671.2,2,3,3,7,7,67153.3632,0,0.123,6.19,12.9,1.334837826,11.57091191,21,10.5,0,1
275,275,1119,0,21176,0,19.43,5,3,3,4,8,132153.12,4,0.2,6.77,23.99,0.912772784,43.75848207,12,10,0,1
235,235,276.9,0,13347,0,162.7,2,3,3,4,15,21984.732,1,0.3,6.6,10.27,0.470884139,18.98084767,2.5,5,1,0
235,235,276.9,0,13347,0,57.9,4,1,3.5,4,15,152873.424,4,0.15,6.33,18.96,0.432873707,18.2987548,12.5,5,0,1
235,235,1752,1412,24164,22646,671.2,3,6,3.5,6,9,31790.1672,2,0.354,6.5,15.82,0.63691065,8.842085188,3,6,1,0
275,235,10.33,6.062,3142,2534,117.7,6,4,4,3,2,30917.304,2,0.1,6.69,35.66,2.120663407,19.21278886,12,10,1,0
235,235,1119,0,21176,0,337.4,2,1,3,3,17.5,60508.998,3,0.2,6.77,23.99,0.147512371,1.362847484,14,7,0,1
275,275,36.92,0,5383,0,231.3,3,3,4,8,3,54990.3816,3,0.1,6.69,35.66,1.690661303,38.95628165,18,3,1,0
355,355,1119,0,21176,0,3.178,1,2,3,5,2,3201.858,1,0.283,7.28,19.74,0.164446104,3.625862634,4,2,0,1
355,275,1119,0,21176,0,337.4,6,1,3.5,3,9,72463.9608,3,0.15,6.33,18.96,0.123586237,1.194134098,4.5,4.5,0,1
355,275,16.73,0,3877,0,117.7,3,1,4,8,21,230435.8848,4,0.15,6.33,18.96,2.045738772,156.0746289,10.5,14,0,1
355,355,869.7,637.2,19754,17803,482,6,6,3.5,8,17.5,131602.482,3,0.123,6.19,12.9,1.210791506,8.836397983,3.5,3.5,0,1
235,235,16.73,0,3877,0,57.9,2,1,4,8,4,17881.4592,4,0.3,6.6,10.27,0.70645085,44.9715374,4,4,1,0
355,355,77.63,0,7684,0,117.7,2,2,4,7,20,181180.296,2,0.3,6.6,10.27,2.076302258,88.79009243,20,16,1,0
355,235,1119,0,21176,0,920.8,3,1,4,4,12,32450.9328,1,0.2,6.77,23.99,0.122262956,1.009438289,2,8,0,1
275,275,6447,5538,40005,34685,1752,5,4,3,4,9,43194.492,3,0.15,6.2,13.91,0.186915122,1.075663501,1.5,4.5,1,0
355,275,450.7,330.9,15898,14276,231.3,5,5,3,6,16,121221.936,4,0.354,6.5,15.82,1.121606855,24.37447891,4,16,1,0
235,235,2153,1752,26048,24164,117.7,2,5,3,7,12,117599.9616,4,0.354,6.5,15.82,1.631123033,34.11317283,15,12,1,0
355,235,330.9,0,14276,0,27.72,4,2,3.5,4,9,94448.6928,2,0.283,7.28,19.74,0.808439416,53.6355859,15,12,0,1
355,235,1119,869.7,21176,19754,117.7,3,6,3.5,6,3,31080.456,1,0.3,6.6,10.27,1.164087909,20.22161262,12,15,1,0
275,275,229.3,0,12437,0,57.9,6,3,3.5,5,3,27164.808,0,0.354,6.5,15.82,0.560017542,22.65165824,3,6,1,0
355,355,16.73,10.33,3877,3142,83.56,6,6,3.5,5,5,103601.52,2,0.1,6.69,35.66,4.076261022,25.83266267,15,2.5,1,0
235,235,637.2,450.7,17803,15898,19.43,5,4,3.5,4,9,86103.468,1,0.15,6.2,13.91,1.551371257,16.68221595,12,6,1,0
355,235,25.1,16.73,4525,3877,83.56,4,5,4,5,7.5,56899.26,0,0.283,7.28,19.74,3.072006283,39.06535792,4.5,4.5,0,1
235,235,1119,0,21176,0,337.4,2,2,3,8,9,32132.7864,3,0.14,5.9,25.5,0.261441499,2.322543503,1.5,3,0,1
235,235,1119,0,21176,0,13.17,4,3,3.5,4,12.5,100440.45,1,0.1,6.69,35.66,1.141508618,26.33926932,10,7.5,1,0
235,235,330.9,276.9,14276,13347,337.4,4,4,3.5,6,12,109246.5792,0,0.15,6.33,18.96,1.071334586,24.08426004,9,9,0,1
275,275,6.062,3.492,2534,2124,27.72,1,5,4,6,10,31243.608,2,0.14,5.9,25.5,7.509995363,8.457442334,10,2.5,0,1
355,275,136.7,0,9726,0,482,2,2,3.5,3,2.5,2630.826,0,0.1,6.1,32.84,0.156350575,0.610883161,2.5,7.5,1,0
275,235,276.9,0,13347,0,162.7,5,2,3,3,7,32854.734,3,0.1,6.1,32.84,0.245687966,2.124264342,7,3.5,1,0
235,235,3.492,0,2124,0,920.8,4,3,4,4,10.5,40783.9212,3,0.14,5.9,25.5,3.65671821,10.82324037,3.5,10.5,0,1
355,355,6.062,0,2534,0,8.693,5,3,3.5,6,2,20638.728,2,0.14,5.9,25.5,2.035940535,10.82668597,4,2,0,1
235,235,276.9,229.3,13347,12437,231.3,6,6,4,5,3,51025.788,4,0.1,6.69,35.66,1.205814004,15.05605765,4.5,6,1,0
235,235,10.33,0,3142,0,231.3,4,1,3.5,4,9,105608.2896,2,0.14,5.9,25.5,1.242806552,13.48183771,18,9,0,1
355,275,276.9,229.3,13347,12437,671.2,2,4,3,7,2.5,27001.656,2,0.171,6,17.28,0.571566717,12.24668104,15,5,0,1
355,355,104.5,77.63,8682,7684,671.2,2,6,3,4,7.5,22841.28,4,0.1,6.69,35.66,1.013512373,9.000975316,1.5,7.5,1,0
355,235,869.7,637.2,19754,17803,57.9,3,4,4,4,24,223681.392,2,0.123,6.19,12.9,2.529684554,15.16297179,24,20,0,1
355,275,25.1,16.73,4525,3877,671.2,4,5,3,7,20,233225.784,3,0.15,6.33,18.96,3.629825435,70.21737047,12,12,0,1
275,275,1119,0,21176,0,27.72,2,1,3,3,7,30427.848,4,0.1,6.69,35.66,0.130542432,1.14850488,14,17.5,1,0
355,355,1752,1412,24164,22646,671.2,1,4,3,7,17.5,68452.461,0,0.3,6.6,10.27,0.8030636,25.65204217,17.5,7,1,0
235,235,869.7,0,19754,0,19.43,1,2,3,6,6,15564.7008,0,0.2,6.77,23.99,0.363584054,12.38314547,8,2,0,1
275,275,330.9,276.9,14276,13347,671.2,6,5,3.5,5,6,132030.756,1,0.1,6.1,32.84,1.034223414,8.071774528,12,8,1,0
355,275,2153,1752,26048,24164,83.56,3,6,3,8,10,90386.208,4,0.1,6.1,32.84,1.739589095,13.62728568,4,8,1,0
235,235,1119,0,21176,0,83.56,5,3,3.5,6,24,199698.048,0,0.1,6.69,35.66,1.085951625,18.87927265,8,12,1,0
235,235,77.63,54.1,7684,6434,231.3,1,4,3.5,8,8,42158.4768,4,0.15,6.2,13.91,1.924204647,14.67399092,16,16,1,0
235,235,5538,4221,34685,32053,57.9,2,6,4,6,7,46922.5152,4,0.123,6.19,12.9,1.743868014,9.876542581,14,3.5,0,1
355,275,1119,0,21176,0,5.412,5,1,4,3,2,3793.284,0,0.1,6.69,35.66,0.062373123,0.132410755,2,2,1,0
275,275,229.3,0,12437,0,13.17,1,1,3,3,1.5,568.9926,0,0.15,6.33,18.96,0.056110213,0.158188606,1.5,1.5,0,1
355,275,25.1,16.73,4525,3877,27.72,4,4,4,5,12,132724.152,1,0.1,6.69,35.66,4.495687242,29.98976223,20,4,1,0
235,235,276.9,229.3,13347,12437,19.43,1,5,3.5,6,12.5,18966.42,3,0.354,6.5,15.82,2.586994055,23.47380155,2.5,2.5,1,0
355,235,1119,0,21176,0,482,1,1,4,5,7,23432.706,2,0.354,6.5,15.82,0.166028387,4.154729265,17.5,7,1,0
355,355,10.33,6.062,3142,2534,337.4,6,6,3.5,4,8,92409.2928,0,0.2,6.77,23.99,4.472559416,104.928633,16,12,0,1
275,275,77.63,0,7684,0,920.8,6,3,4,4,8,42452.1504,1,0.1,6.69,35.66,0.737247348,16.03408121,2,8,1,0
355,355,229.3,182.6,12437,11253,1119,4,4,4,4,10,48292.992,0,0.123,6.19,12.9,0.773354556,5.247041022,4,8,0,1
275,275,6447,5538,40005,34685,38.92,2,5,3,7,4,36652.0968,3,0.15,6.33,18.96,0.807091091,15.08242481,10,2,0,1
275,275,869.7,637.2,19754,17803,162.7,4,4,3,7,3,67316.5152,4,0.3,6.6,10.27,0.760478062,20.00756703,9,1.5,1,0
355,275,1119,0,21176,0,19.43,2,1,3,5,4,31080.456,2,0.171,6,17.28,0.135802212,1.360226112,12,6,0,1
235,235,229.3,182.6,12437,11253,83.56,6,4,4,7,17.5,351470.196,2,0.283,7.28,19.74,3.038182883,46.89369918,14,7,0,1
275,275,4221,3034,32053,28583,162.7,2,6,3,6,7.5,29367.36,0,0.15,6.33,18.96,0.811840561,11.30542035,5,12.5,0,1
275,235,16.73,0,3877,0,83.56,6,1,4,8,4,59974.6752,2,0.354,6.5,15.82,0.808474664,57.65328509,8,8,1,0
275,235,637.2,450.7,17803,15898,83.56,4,5,3,7,10,55961.136,0,0.283,7.28,19.74,1.16902399,24.13686312,2,8,0,1
235,235,16.73,10.33,3877,3142,83.56,3,4,3.5,7,9,154668.096,4,0.3,6.6,10.27,4.577349345,41.60121444,9,7.5,1,0
275,235,637.2,0,17803,0,57.9,5,1,4,6,3,40013.028,1,0.354,6.5,15.82,0.192375099,5.790479869,4.5,6,1,0
235,235,136.7,104.5,9726,8682,117.7,5,5,3.5,7,3.5,67524.534,2,0.123,6.19,12.9,1.591058375,9.929329078,14,10.5,0,1
355,235,1119,0,21176,0,337.4,2,3,3.5,3,15,67912.02,3,0.3,6.6,10.27,0.580659047,17.94972316,15,15,1,0
235,235,36.92,0,5383,0,27.72,6,3,3,6,12.5,178345.53,3,0.15,6.2,13.91,2.155197876,13.93805187,7.5,5,1,0
235,235,6.062,0,2534,0,920.8,4,1,3,5,9,110943.36,4,0.3,6.6,10.27,1.316854407,88.53275737,12,15,1,0
275,235,54.1,0,6434,0,117.7,4,3,4,6,12,189713.1456,3,0.354,6.5,15.82,2.530347557,51.78399997,20,16,1,0
275,275,637.2,450.7,17803,15898,482,1,6,4,6,21,72219.2328,1,0.171,6,17.28,2.271979495,15.41035102,17.5,3.5,0,1
235,235,276.9,229.3,13347,12437,19.43,5,6,3.5,3,12,136129.95,1,0.15,6.33,18.96,3.359837311,32.85291789,24,20,0,1
275,275,450.7,330.9,15898,14276,13.17,3,5,3,3,16,88171.4196,1,0.354,6.5,15.82,2.417597045,24.83753425,20,12,1,0
355,235,1119,0,21176,0,162.7,4,2,4,3,10,92017.728,3,0.14,5.9,25.5,0.441488686,6.502995616,15,7.5,0,1
235,235,10.33,0,3142,0,38.92,1,1,3,6,6,31937.004,3,0.123,6.19,12.9,0.94807207,18.48202923,9,7.5,0,1
235,235,136.7,104.5,9726,8682,8.693,4,4,3,3,15,103887.036,3,0.3,6.6,10.27,2.477908647,59.80180484,12,12,1,0
235,235,1119,0,21176,0,83.56,3,1,3.5,6,10.5,92225.7468,4,0.171,6,17.28,0.231263052,4.000172107,10.5,14,0,1
355,235,1119,0,21176,0,117.7,3,3,3.5,3,10,40053.816,2,0.1,6.1,32.84,0.487216677,14.42400607,7.5,7.5,1,0
355,235,77.63,54.1,7684,6434,19.43,1,5,3.5,4,7,21152.6568,3,0.123,6.19,12.9,2.975030923,19.61446518,17.5,7,0,1
355,355,1119,0,21176,0,19.43,1,2,3.5,7,7.5,14020.875,1,0.15,6.33,18.96,0.390094332,9.854850622,1.5,7.5,0,1
275,275,3.492,0,2124,0,19.43,3,1,3,3,9,12995.0568,1,0.123,6.19,12.9,0.682324209,8.787751118,1.5,1.5,0,1
235,235,637.2,450.7,17803,15898,57.9,2,6,3,7,3,12676.9104,0,0.1,6.69,35.66,1.099681935,11.11270926,6,12,1,0
235,235,869.7,0,19754,0,13.17,1,1,3.5,3,14,15821.6652,3,0.14,5.9,25.5,0.165254501,2.8591261,3.5,7,0,1
275,275,637.2,0,17803,0,117.7,3,1,4,3,4,10661.9832,2,0.354,6.5,15.82,0.108137793,1.681774778,4,16,1,0
235,235,869.7,0,19754,0,117.7,4,3,3.5,8,5,98054.352,4,0.171,6,17.28,0.883435258,14.96082209,10,10,0,1
355,235,1119,0,21176,0,671.2,3,1,4,8,2.5,42582.672,0,0.2,6.77,23.99,0.155185347,1.797346216,15,10,0,1
275,275,450.7,330.9,15898,14276,19.43,1,6,3.5,6,12.5,29775.24,4,0.123,6.19,12.9,3.700353637,11.42415567,5,2.5,0,1
355,235,1119,0,21176,0,117.7,2,3,3,5,18,136843.74,1,0.15,6.33,18.96,0.982828699,25.93704328,18,15,0,1
275,275,77.63,0,7684,0,482,6,3,4,6,6,107190.864,3,0.15,6.33,18.96,1.199788871,45.66583339,9,15,0,1
275,275,2153,1752,26048,24164,19.43,2,6,3,4,6,13362.1488,3,0.1,6.1,32.84,1.000853058,7.857540106,2,4,1,0
355,275,1119,0,21176,0,920.8,3,3,4,3,14,53122.2912,4,0.3,6.6,10.27,0.416056113,16.39390498,7,14,1,0
275,275,3.492,0,2124,0,5.412,4,1,3.5,5,6,27898.992,3,0.1,6.1,32.84,1.225096232,23.14657611,1.5,3,1,0
275,235,869.7,637.2,19754,17803,162.7,5,5,4,7,14,366174.27,1,0.283,7.28,19.74,2.808607228,49.66218647,21,17.5,0,1
275,275,1119,0,21176,0,231.3,4,3,3,5,9,62079.336,2,0.283,7.28,19.74,0.41540725,17.01121595,6,12,0,1
355,275,1119,0,21176,0,13.17,6,3,3,4,7,76746.7008,0,0.14,5.9,25.5,0.683692575,4.75798475,14,7,0,1
275,275,1119,0,21176,0,83.56,6,2,3.5,7,3.5,80743.9248,2,0.3,6.6,10.27,0.39974836,21.69075874,14,10.5,1,0
235,235,6.062,0,2534,0,671.2,6,1,3.5,4,17.5,118244.412,2,0.15,6.33,18.96,1.440699868,108.6951195,7,7,0,1
235,235,869.7,0,19754,0,231.3,3,3,3.5,6,18,83696.976,2,0.2,6.77,23.99,0.715237242,22.95252591,3,15,0,1
275,235,4221,3034,32053,28583,671.2,5,5,3.5,6,24,250846.2,2,0.171,6,17.28,0.956359937,16.28433671,8,20,0,1
355,275,1119,0,21176,0,38.92,5,3,3,7,4,71766.486,1,0.1,6.69,35.66,0.663117968,15.36812779,8,6,1,0
355,275,1119,0,21176,0,117.7,5,1,3.5,7,2,60447.816,4,0.15,6.2,13.91,0.151454365,1.852067868,12,2,1,0
235,235,36.92,0,5383,0,162.7,3,2,3.5,8,10,174817.368,1,0.3,6.6,10.27,1.808734831,69.37483907,15,10,1,0
235,235,1119,0,21176,0,162.7,5,1,3.5,8,16,315372.816,1,0.3,6.6,10.27,0.332010753,13.48148405,16,12,1,0
275,235,637.2,450.7,17803,15898,117.7,1,6,4,6,20,77619.564,1,0.3,6.6,10.27,3.687785162,34.24373868,20,16,1,0
275,275,182.6,136.7,11253,9726,57.9,4,5,3,6,24,292498.9056,4,0.14,5.9,25.5,3.434942011,9.168680607,16,8,0,1
235,235,450.7,330.9,15898,14276,27.72,1,6,4,4,15,21576.852,1,0.123,6.19,12.9,2.965874772,16.74904621,6,12,0,1
275,275,77.63,0,7684,0,231.3,3,3,4,8,21,384614.5248,4,0.1,6.1,32.84,3.395184076,19.09854384,21,14,1,0
275,275,637.2,0,17803,0,920.8,3,3,3.5,5,2,13704.768,0,0.15,6.2,13.91,0.236888093,2.109480451,8,4,1,0
275,235,1119,0,21176,0,57.9,1,3,4,5,7.5,11522.61,1,0.15,6.33,18.96,0.653551247,31.34148591,3,3,0,1
235,235,229.3,182.6,12437,11253,57.9,4,4,4,5,8,88020.504,3,0.354,6.5,15.82,1.882211263,30.54301546,16,12,1,0
355,355,229.3,0,12437,0,13.17,2,1,3,3,7,23077.8504,3,0.171,6,17.28,0.227104699,3.853723675,10.5,14,0,1
355,235,1119,0,21176,0,920.8,3,2,4,5,7.5,63170.415,1,0.283,7.28,19.74,0.318887596,16.50437994,12.5,2.5,0,1
275,235,276.9,229.3,13347,12437,83.56,6,4,4,5,24,223559.028,3,0.14,5.9,25.5,2.129403041,9.596299167,8,12,0,1
235,235,54.1,36.92,6434,5383,57.9,6,6,3.5,6,24,273899.5776,4,0.1,6.1,32.84,4.971408569,14.32073109,8,12,1,0
235,235,1119,0,21176,0,920.8,6,2,3,3,18,218933.6688,4,0.3,6.6,10.27,0.293421545,8.590192292,15,12,1,0
235,235,637.2,450.7,17803,15898,117.7,5,4,3.5,8,7,84512.736,0,0.1,6.1,32.84,1.111205733,7.910144039,7,14,1,0
355,235,3.492,0,2124,0,27.72,5,2,3.5,5,7,60162.3,4,0.15,6.2,13.91,2.492109321,16.72087192,7,7,1,0
355,355,54.1,0,6434,0,337.4,4,1,3,3,17.5,84798.252,0,0.15,6.33,18.96,0.412531246,14.77235586,10.5,14,0,1
275,275,276.9,229.3,13347,12437,27.72,2,5,3,4,21,127291.1904,4,0.2,6.77,23.99,3.27082652,51.63683696,21,3.5,0,1
355,275,10.33,6.062,3142,2534,671.2,4,6,4,3,6,26234.8416,4,0.354,6.5,15.82,3.472105608,29.79782966,4,2,1,0
275,235,25.1,16.73,4525,3877,117.7,1,6,3,8,4,17816.1984,1,0.1,6.69,35.66,2.466077038,11.48037239,8,8,1,0
235,235,869.7,0,19754,0,27.72,6,1,3.5,6,4.5,79805.8008,4,0.1,6.69,35.66,0.193339873,2.600245703,4.5,4.5,1,0
275,235,450.7,330.9,15898,14276,27.72,2,4,3,5,12,77497.2,4,0.1,6.1,32.84,1.896770202,16.0097861,8,10,1,0
275,275,182.6,136.7,11253,9726,117.7,1,6,3,4,10.5,24285.1752,2,0.2,6.77,23.99,1.626706126,25.12889518,14,7,0,1
275,275,1119,869.7,21176,19754,162.7,6,6,4,8,10.5,308039.1336,2,0.1,6.69,35.66,2.920766434,11.92818662,17.5,10.5,1,0
355,275,136.7,0,9726,0,117.7,6,1,4,8,17.5,438144.696,4,0.3,6.6,10.27,0.911969308,76.15492497,14,10.5,1,0
275,275,1119,0,21176,0,38.92,6,1,3,4,12,194607.7056,4,0.1,6.69,35.66,0.210560168,3.836670769,15,12,1,0
355,235,229.3,182.6,12437,11253,13.17,4,6,3,3,12,116882.0928,4,0.1,6.1,32.84,3.405107635,7.667685461,18,12,1,0
355,355,330.9,276.9,14276,13347,1412,1,4,3.5,5,21,75967.65,2,0.15,6.33,18.96,1.172371054,33.91499357,17.5,17.5,0,1
275,235,16.73,0,3877,0,231.3,6,2,3,5,16,212790.996,3,0.15,6.2,13.91,1.572999267,26.75426798,12,16,1,0
355,355,54.1,36.92,6434,5383,83.56,3,6,4,8,8,89146.2528,4,0.283,7.28,19.74,4.509815294,82.72558439,12,12,0,1
355,355,229.3,0,12437,0,57.9,3,1,3,6,24,191744.388,1,0.2,6.77,23.99,0.505429727,22.32236134,12,20,0,1
275,275,1119,869.7,21176,19754,1412,6,5,4,4,20,255822.336,2,0.171,6,17.28,1.041297405,20.69066054,16,16,0,1
275,275,1412,1119,22646,21176,27.72,4,4,3.5,4,7,46180.1736,3,0.15,6.33,18.96,0.96174114,21.00034765,10.5,3.5,0,1
275,275,4221,3034,32053,28583,117.7,2,4,3.5,8,12.5,110229.57,1,0.123,6.19,12.9,1.222545025,13.47644593,10,12.5,0,1
235,235,54.1,0,6434,0,482,1,1,3.5,3,12,12701.3832,2,0.3,6.6,10.27,0.316275687,12.92833095,2,8,1,0
355,235,104.5,77.63,8682,7684,8.693,6,4,3.5,5,7.5,66994.29,1,0.283,7.28,19.74,2.425719753,24.32,3,4.5,0,1
275,235,54.1,36.92,6434,5383,57.9,5,6,3.5,5,12,174062.79,3,0.354,6.5,15.82,4.143944113,32.09469525,12,15,1,0
275,235,104.5,77.63,8682,7684,1412,1,4,4,8,9,33780.6216,1,0.123,6.19,12.9,1.442656798,11.3292667,12,3,0,1
235,235,16.73,10.33,3877,3142,8.693,6,6,3.5,3,15,191622.024,0,0.15,6.2,13.91,7.539265148,13.63448097,15,10,1,0
275,275,869.7,0,19754,0,13.17,5,1,3,3,8,69951.42,2,0.14,5.9,25.5,0.158777638,2.656593005,16,20,0,1
235,235,6.062,0,2534,0,83.56,6,2,3.5,8,6,121482.9792,2,0.123,6.19,12.9,2.485682349,24.26426052,6,6,0,1
235,235,1119,0,21176,0,57.9,3,2,3.5,4,2.5,4527.468,0,0.15,6.33,18.96,0.143247984,1.36596325,2.5,5,0,1
355,235,77.63,0,7684,0,13.17,5,3,3,4,12,72765.792,4,0.1,6.1,32.84,1.429077695,12.53244667,8,4,1,0
235,235,16.73,0,3877,0,38.92,2,3,3,5,10,57307.14,3,0.2,6.77,23.99,2.181508695,41.83415227,10,7.5,0,1
355,355,276.9,0,13347,0,38.92,4,2,3,8,4,89603.0784,2,0.1,6.1,32.84,0.734913807,39.89995879,12,2,1,0
275,275,6.062,0,2534,0,19.43,2,3,3,6,9,35240.832,0,0.1,6.1,32.84,2.743658922,17.11630861,3,7.5,1,0
355,235,5538,4221,34685,32053,117.7,5,5,4,7,24,270465.228,2,0.3,6.6,10.27,1.882615074,57.88541781,8,16,1,0
355,275,6.062,0,2534,0,13.17,2,1,3,4,2.5,12542.31,3,0.1,6.1,32.84,0.635303035,49.94102127,7.5,12.5,1,0
235,235,77.63,54.1,7684,6434,117.7,1,5,3,7,7,31206.8988,3,0.171,6,17.28,2.006699618,25.22164442,14,14,0,1
235,235,1412,1119,22646,21176,1119,6,6,4,8,6,194314.032,2,0.1,6.1,32.84,1.226490678,6.569232576,10,10,1,0
235,235,1119,869.7,21176,19754,57.9,2,6,4,4,18,41864.8032,2,0.1,6.69,35.66,2.080754318,10.88146829,6,3,1,0
355,275,104.5,0,8682,0,57.9,5,1,3,8,4.5,105579.738,1,0.171,6,17.28,0.409820559,17.87647229,7.5,3,0,1
275,275,1119,0,21176,0,5.412,3,3,4,3,6,35877.1248,4,0.1,6.69,35.66,1.003566432,20.20775369,6,6,1,0
275,275,869.7,0,19754,0,117.7,6,2,3,4,16,91854.576,1,0.171,6,17.28,0.314082382,5.539433848,4,20,0,1
235,235,276.9,229.3,13347,12437,13.17,1,4,4,4,18,16152.048,0,0.15,6.2,13.91,2.117721253,10.86135948,3,15,1,0
275,275,1119,0,21176,0,38.92,6,3,4,6,21,284178.1536,2,0.283,7.28,19.74,1.680551723,44.41803182,10.5,7,0,1
355,275,869.7,637.2,19754,17803,482,1,4,3.5,7,12,57527.3952,4,0.2,6.77,23.99,1.094200509,32.02755026,15,3,0,1
235,235,1119,0,21176,0,57.9,1,1,3.5,3,2.5,4129.785,3,0.1,6.1,32.84,0.074864006,0.164082971,2.5,12.5,1,0
355,275,54.1,36.92,6434,5383,482,1,4,3.5,3,10,6730.02,0,0.14,5.9,25.5,0.759258381,3.471443835,2,10,0,1
275,235,1119,0,21176,0,231.3,3,1,3,4,7.5,38544.66,0,0.354,6.5,15.82,0.108648597,1.680871052,7.5,12.5,1,0
235,235,1119,0,21176,0,337.4,6,2,4,4,6,83696.976,2,0.2,6.77,23.99,0.315861489,6.577068678,6,7.5,0,1
275,275,1119,869.7,21176,19754,83.56,2,5,4,5,20,96055.74,3,0.2,6.77,23.99,2.371686607,35.79295715,12,16,0,1
355,355,3034,2153,28583,26048,1752,4,6,3.5,6,6,69160.1328,3,0.15,6.2,13.91,0.571591559,2.494160446,9,12,1,0
235,235,330.9,276.9,14276,13347,482,1,4,3,6,12,43830.7848,3,0.283,7.28,19.74,0.926666808,23.99748186,8,6,0,1
235,235,3034,2153,28583,26048,162.7,6,4,3.5,5,8,68890.932,3,0.354,6.5,15.82,0.555217504,17.8581145,8,4,1,0
235,235,1119,0,21176,0,19.43,4,3,3,5,7.5,110025.63,1,0.123,6.19,12.9,0.947961894,10.24586325,9,6,0,1
275,275,330.9,276.9,14276,13347,337.4,4,5,3.5,3,1.5,12982.8204,1,0.283,7.28,19.74,0.448223119,10.83353075,9,1.5,0,1
235,235,450.7,330.9,15898,14276,57.9,6,5,3,5,6,81249.696,2,0.15,6.33,18.96,1.241739042,37.20867304,6,8,0,1
